ResponseID,Language,ID_Q1,ID_Q2,ID_Q3,ID_Q4,ID_Q5,ID_Q6,ID_Q7,ID_Q8,ID_Q9,ID_Q10,ID_Q11,ID_Q12,ID_Q13,ID_Q14_1,ID_Q14_2,ID_Q14_3,ID_Q14_4,ID_Q14_5,ID_Q15,ID_Q16,ID_Q17,ID_Q18_1,ID_Q18_2,ID_Q18_3,ID_Q18_4,ID_Q18_5,ID_Q18_6,ID_Q18_7,ID_Q19_1,ID_Q19_2,ID_Q19_3,ID_Q19_4,ID_Q19_5,ID_Q19_6,ID_Q19_7,ID_Q19_8,ID_Q19_9,ID_Q20_1,ID_Q20_2,ID_Q20_3,ID_Q20_4,ID_Q20_5,ID_Q20_6,ID_Q20_7,ID_Q20_8,ID_Q20_9,ID_Q21_1,ID_Q21_2,ID_Q21_3,ID_Q21_4,ID_Q21_5,ID_Q22_1,ID_Q22_2,ID_Q22_3,ID_Q22_4,ID_Q22_5,ID_Q22_6,ID_Q22_7,ID_Q23,ID_Q23_1,ID_Q23_2,ID_Q23_3,ID_Q23_4,ID_Q23_5,ID_Q23_6,ID_Q23_7,ID_Q23_8,ID_Q24,ID_Q25,ID_Q26,ID_Q27,ID_Q27_1,ID_Q27_2,ID_Q27_3,ID_Q27_4,ID_Q27_5,ID_Q27_6,ID_Q28_1,ID_Q28_2,ID_Q28_3,ID_Q29,ID_Q29_1,ID_Q29_2,ID_Q29_3,ID_Q30,ID_Q30_1,ID_Q30_2,ID_Q30_3,ID_Q30_4,ID_Q30_5,ID_Q30_6,ID_Q30_7,ID_Q30_8,ID_Q30_9,ID_Q30_10,ID_Q30_11,ID_Q30_12,ID_Q30_13,ID_Q30_14,ID_Q30_15,ID_Q31,ID_Q31_1,ID_Q31_2,ID_Q31_3,ID_Q31_4,ID_Q31_5,ID_Q31_6,ID_Q31_7,ID_Q31_8,ID_Q31_9,ID_Q31_10,ID_Q32,ID_Q32_1,ID_Q32_2,ID_Q32_3,ID_Q32_4,ID_Q32_5,ID_Q32_6,ID_Q32_7,ID_Q32_8,ID_Q32_9,ID_Q32_10,ID_Q32_11,ID_Q32_12,ID_Q32_13,ID_Q32_14,ID_Q33,ID_Q33_1,ID_Q33_2,ID_Q33_3,ID_Q33_4,ID_Q33_5,ID_Q34,ID_Q34_1,ID_Q34_2,ID_Q34_3,ID_Q34_4,ID_Q35,ID_Q35_1,ID_Q35_2,ID_Q35_3,ID_Q35_4,ID_Q36_1,ID_Q36_2,ID_Q36_3,ID_Q36_4,ID_Q36_5,ID_Q36_6,ID_Q36_7,ID_Q36_8,ID_Q36_9
R_03b0zUoNhf6lvH3,1,4,Australia,66,0,3,2,1,2,2,5,0,NA,NA,0,10,8,0,10,0,0,0,0,0,0,0,1,0,3,10,6,5,5,10,6,5,7,7,0,0,4,4,0,0,3,0,0,5,3,5,4,4,0,NA,2,4,0,3,0,4.875,5,5,5,5,5,4,5,5,2,0,0,7,7,7,7,7,7,7,5,5,5,3,1,1,1,3.533333333,5,3,4,3,1,4,4,3,2,4,4,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2.142857143,3,4,1,2,2,2,3,2,1,2,2,2,1,3,5.8,6,7,5,5,6,3.25,8,5,0,0,0,0,0,0,0,2,0,1,2,2,1,2,NA,NA
R_07ABD06FJ34nwcN,1,4,Australia,27,1,2,2,NA,2,2,5,5,NA,NA,5,5,5,5,5,5,5,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NA,5,5,5,5,5,3.125,4,3,3,3,3,3,3,3,9,0,5,4,4,4,4,4,4,4,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,0,3,0,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,4.5,5,4,4,5,5,5,5,5,5,2,2,2,2,2,2,2,NA,NA
R_07jSXPZtWpOESRj,1,4,Australia,34,0,5,1,1,3,1,7,8,NA,NA,8,9,9,3,9,7,6,1,5,9,3,6,6,NA,6,5,8,3,7,6,NA,7,6,3,6,4,4,6,3,4,NA,6,7,4,6,4,6,8,4,NA,7,6,NA,6,4,NA,4,NA,3,3,3,4,2,3,4,0,6,3.5,4,5,2,3,3,4,4,4,5,3,1,1,1,3.533333333,4,4,3,4,2,4,4,3,4,3,4,3,4,4,3,2.5,3,3,3,2,2,3,3,1,3,2,NA,1,2,3,1,2,3,1,2,2,3,NA,2,NA,1,4.4,4,5,5,6,2,NA,6,NA,5,6,4.75,4,5,5,5,2,2,1,3,1,1,3,NA,NA
R_09tfAleGxoP9FMl,1,4,Australia,39,0,3,2,1,2,1,2,3,NA,NA,7,7,3,2,7,5,5,0,4,2,2,4,7,6,5,4,6,6,7,3,6,2,4,2,3,4,4,7,3,7,6,7,8,7,7,7,8,8,8,NA,8,7,8,4,4,3.5,3,3,2,4,4,4,3,5,2,1,7,3.833333333,3,3,5,3,3,6,4,5,4,0,0,0,0,2.933333333,4,3,3,4,4,2,3,3,2,2,4,3,2,3,2,1.8,3,3,2,1,2,2,2,1,1,1,1.642857143,1,1,1,1,0,0,1,3,3,1,2,3,3,3,6.8,7,7,6,7,7,6,6,5,6,7,0,0,0,0,0,2,2,1,1,1,1,1,NA,NA
R_0caDSercigQu8mZ,1,4,Australia,39,1,4,2,1,2,2,4,4,NA,NA,6,8,5,2,2,7,9,1,6,4,5,9,8,7,6,6,7,5,8,8,3,6,6,6,6,7,6,8,6,3,8,7,8,8,9,8,8,8,7,NA,8,8,8,8,8,2.75,4,3,3,2,4,2,2,2,4,0,6,4.333333333,5,6,3,5,6,1,3,5,4,1,0,1,0,2.933333333,3,2,3,4,2,3,3,2,3,3,4,3,4,2,3,2.9,3,3,3,2,3,3,3,3,3,3,0.357142857,0,0,0,1,1,1,0,0,0,0,1,0,0,1,4,3,7,5,2,3,2,1,6,1,0,1.25,3,1,1,0,0,0,0,0,0,0,0,NA,NA
R_0J7cvgtlEmrno5P,1,4,Australia,24,0,4,2,0,2,2,7,7,NA,NA,7,8,8,7,7,7,9,NA,8,8,9,6,7,7,7,7,8,7,8,7,8,7,8,8,6,7,7,7,6,5,7,7,5,7,9,8,9,8,6,NA,7,8,3,8,7,3.75,4,3,4,3,4,4,4,4,9,NA,6,4,3,5,3,5,3,5,3,4,4,0,0,0,0,3.533333333,4,3,3,3,4,3,3,4,4,4,3,4,4,3,4,1.5,1,3,1,2,1,2,2,1,1,1,2.428571429,2,2,2,2,1,2,3,3,3,4,3,3,2,2,5,5,5,5,5,5,7.75,7,8,8,8,7.75,8,8,7,8,2,2,2,2,2,2,2,NA,NA
R_0rCYeccTgGzDTqx,1,4,Australia,23,0,NA,2,1,1,2,5,5,NA,NA,5,5,5,5,NA,6,6,0,7,5,7,7,7,6,4,4,5,3,4,6,6,6,6,5,4,6,4,6,6,3,6,4,5,5,4,6,6,5,4,NA,5,6,5,5,5,4.75,5,5,5,5,4,4,5,5,9,0,5,3.833333333,3,6,2,4,3,5,5,5,5,NA,0,NA,0,3.333333333,4,3,3,3,3,3,3,4,4,3,3,4,3,4,3,1.5,1,1,1,2,1,1,1,3,2,2,2.428571429,1,2,2,3,3,3,3,2,2,3,2,2,3,3,4.2,3,4,4,5,5,5.5,5,5,6,6,4.75,5,6,4,4,2,2,3,3,2,2,3,NA,NA
R_0uEcUkXIp1jWV4B,1,4,Australia,35,0,5,1,1,2,1,10,10,NA,NA,10,10,9,10,10,10,10,1,10,9,9,9,9,9,9,9,9,10,10,9,10,10,10,10,9,9,10,10,10,10,10,10,10,9,9,9,10,10,8,NA,8,9,9,10,10,4.375,4,5,5,5,4,4,4,4,2,1,10,3.833333333,1,6,1,7,1,7,5,5,5,NA,1,NA,1,4.8,5,4,5,4,5,4,5,5,5,5,5,5,5,5,5,1.4,2,3,0,3,0,3,3,0,0,0,3.785714286,4,3,4,4,4,4,4,4,4,4,4,3,3,4,4.8,5,5,5,5,4,9.25,10,9,9,9,9,9,9,9,9,4,3,3,2,1,1,1,NA,NA
R_0v0byTWecpeqldn,1,4,Australia,19,1,NA,2,1,2,1,5,0,NA,NA,1,9,5,0,3,5,5,0,0,0,0,0,0,0,0,10,10,0,10,10,10,0,10,0,0,0,0,0,0,0,0,0,0,5,4,4,6,8,1,NA,1,1,1,1,1,4.875,5,5,4,5,5,5,5,5,4,1,6,5.333333333,1,7,5,7,5,7,5,1,1,1,0,0,1,2.666666667,5,1,1,1,1,3,2,5,3,3,5,5,3,1,1,2,3,3,3,3,2,1,1,2,1,1,2.714285714,3,2,2,3,3,3,3,4,3,3,2,3,2,2,9,9,9,9,9,9,9.75,10,10,9,10,7.5,5,5,10,10,2,2,3,2,0,3,3,NA,NA
R_0V8Ob7mkVqdTyVj,1,4,Australia,37,0,3,2,1,2,2,5,2,NA,NA,3,5,5,0,5,4,5,0,3,4,5,4,4,6,4,4,4,6,6,4,7,7,4,3,4,6,3,3,3,7,7,4,3,5,6,6,6,6,6,NA,6,6,5,6,5,3.75,4,4,4,4,4,3,4,3,2,1,6,3.666666667,3,3,5,4,5,2,4,4,5,2,1,0,1,3.6,2,4,4,4,2,4,5,4,3,4,4,4,4,2,4,2.3,3,3,2,3,3,2,2,3,1,1,2.285714286,3,1,3,3,3,1,3,3,1,1,2,1,3,4,6,6,6,6,7,5,2.5,3,3,3,1,3,3,0,4,5,1,1,1,2,1,3,3,NA,NA
